Search Term,Event count,Active users
 Glas,37,1
Austern,37,21
Blattspinat,37,30
Dessert,37,10
Fleckerl,37,34
Haubis,37,15
Lamm,37,22
Mozzarella ,37,22
Pfirsich,37,22
Rotwein,37,28
Vogerlsalat,37,28
abzieher,37,25
babyspinat,37,26
blaufränkisch,37,21
brett,37,21
darbo marille,37,32
debic,37,25
edamame,37,24
edding,37,25
estragonsenf,37,24
extra wurst,37,29
farfalle,37,30
ginger ale,37,30
ginger beer,37,29
grammel,37,30
hirschrücken,37,24
joya,37,27
kapernbeeren,37,31
karreespeck,37,24
korn,37,22
kotany,37,15
limo,37,12
limonade,37,15
linguine,37,28
mccain,37,17
mutti,37,23
pfeffer gemahlen,37,32
pinien,37,28
reisessig,37,32
romanesco,37,29
schalen,37,14
schürze,37,21
sojamilch,37,34
sosa,37,26
thermo,37,24
tortelloni,37,33
vulcano,37,25
wildkräuter,37,22
woerle,37,26
wraps,37,31
zange,37,20
23069,36,24
Dill,36,28
Erdbeeren,36,23
Glutenfrei,36,20
Heidelbeeren,36,23
Leber,36,18
Muscheln,36,19
Sesam,36,33
Soletti,36,26
aladino,36,21
basmati reis,36,25
blutwurst,36,31
bouillon,36,19
bueno,36,28
cannelloni,36,32
chardonnay,36,20
darbo honig,36,27
dille,36,29
essig gurken,36,30
frittieröl,36,27
frühstücksspeck,36,26
gemüsemischung,36,14
geselchtes,36,26
glasreiniger,36,31
göttinger,36,21
jameson,36,33
joghurt ,36,21
kelle,36,35
kochcreme,36,27
maiskolben,36,29
mascarino,36,29
milram,36,19
monin ,36,24
nescafe,36,29
paprika rot,36,28
pikantwurst,36,29
quiche,36,27
ramazotti,36,33
rezi,36,25
ripperl,36,25
s-karree,36,23
servietten 40x40,36,6
silikon,36,22
sriracha,36,33
wels,36,23
whisky,36,17
zacapa,36,23
3713138,35,7
Barilla,35,16
Broccoli,35,28
Champagner,35,16
Coca,35,21
Granatapfel,35,28
Portwein,35,30
Red bull,35,29
Strudelteig,35,28
Trinkhalme,35,22
Vanillezucker,35,33
bambus,35,30
birnenhälften,35,25
bratwürstel,35,22
erdnussbutter,35,30
freudenschuss,35,16
geflügel,35,18
grenadine,35,19
grüner tee,35,23
johannisbeer,35,31
kaffeebohnen,35,24
kaisergemüse,35,27
knoppers,35,29
kombucha,35,22
noilly,35,28
perlzwiebel,35,26
profiteroles,35,25
