Search Term,Event count,Total users,Event count per active user,Total revenue
kapern,22,17,1.2941176470588200,0
kids,22,6,3.6666666666666700,0
paniermehl,22,12,1.8333333333333300,0
rahmspinat,22,22,1,0
rüebli offen,22,10,2.2,0
seitling,22,8,2.75,0
selleri,22,17,1.2941176470588200,0
truffes,22,2,11,0
Gemüse,21,9,2.3333333333333300,0
Glutenfrei,21,7,3,0
aprikosen,21,18,1.1666666666666700,0
ciabatta,21,12,1.75,0
fonduebrot,21,6,3.5,0
guacamole,21,10,2.1,0
kadi pommes,21,7,3,0
karotten gross,21,10,2.1,0
kartoffeln festkochend,21,16,1.3125,0
kräuterseitlinge,21,17,1.2352941176470600,0
laktosefrei,21,14,1.5,0
lime,21,13,1.6153846153846200,0
mister cool,21,5,4.2,0
napf joghurt,21,5,4.2,0
nuggets,21,16,1.3125,0
penne,21,15,1.4,0
raclette kartoffeln,21,17,1.2352941176470600,0
rohschinken,21,11,1.9090909090909100,0
rübli,21,15,1.4,0
zwiebeln rot,21,20,1.05,0
Blüten,20,2,10,0
Eigelb,20,18,1.1111111111111100,0
Käppeli ,20,1,20,0
Melone,20,8,2.5,0
Schokolade,20,5,4,0
Wirz,20,17,1.1764705882352900,0
Zitrone,20,14,1.4285714285714300,0
asia gemüse,20,9,2.2222222222222200,0
buttergipfel,20,11,1.8181818181818200,0
cannelloni,20,14,1.4285714285714300,0
cassis,20,11,1.8181818181818200,0
cole slaw,20,13,1.5384615384615400,0
country,20,8,2.5,0
edamame,20,11,1.8181818181818200,0
eisberg salat,20,15,1.3333333333333300,0
heidelbeeren,20,10,2,0
i gelati,20,8,2.5,0
kartoffel scheiben,20,7,2.857142857142860,0
kartoffeln fest,20,14,1.4285714285714300,0
kartoffeln mehlig,20,16,1.25,0
mozzarella mini,20,9,2.2222222222222200,0
mürner,20,6,3.3333333333333300,0
rapsöl,20,14,1.4285714285714300,0
servietten,20,12,1.6666666666666700,0
soja,20,17,1.1764705882352900,0
tatar,20,10,2,0
47346,19,5,3.8,0
Früchte,19,8,2.375,0
Gala,19,13,1.4615384615384600,0
Granatapfel,19,13,1.4615384615384600,0
Salbei,19,16,1.1875,0
butter port,19,15,1.2666666666666700,0
hot dog,19,16,1.1875,0
joghurt ,19,8,2.375,0
lc1,19,12,1.5833333333333300,0
margarine,19,10,1.9,0
pastete,19,10,1.9,0
pelati,19,15,1.2666666666666700,0
preiselbeeren,19,16,1.1875,0
salatsauce,19,14,1.3571428571428600,0
sonnenblumenöl,19,11,1.7272727272727300,0
stangenlauch,19,11,1.7272727272727300,0
zwiebelsprossen,19,14,1.3571428571428600,0
Fondue,18,12,1.5,0
Frischkäse,18,10,1.8,0
Pinsa,18,7,2.5714285714285700,0
Pommes Frites,18,7,2.5714285714285700,0
Rettich,18,14,1.2857142857142900,0
Salate,18,5,3.6,0
apple,18,5,3.6,0
bratkartoffeln,18,13,1.3846153846153800,0
brunnenkresse,18,11,1.6363636363636400,0
drinkmilch,18,4,4.5,0
essig,18,14,1.2857142857142900,0
johannis,18,12,1.5,0
kohl,18,13,1.3846153846153800,0
mandel,18,15,1.2,0
mesclun,18,10,1.8,0
mischgemüse,18,13,1.3846153846153800,0
nudeln,18,11,1.6363636363636400,0
paysanne,18,8,2.25,0
peperoni tri,18,10,1.8,0
salatgurken,18,13,1.3846153846153800,0
schoko,18,7,2.5714285714285700,0
teigwaren,18,10,1.8,0
tomatensauce,18,14,1.2857142857142900,0
zucch,18,7,2.5714285714285700,0
1001,17,8,2.125,0
10340,17,7,2.4285714285714300,0
Mais,17,11,1.5454545454545500,0
Parmesan,17,14,1.2142857142857100,0
Zucker,17,9,1.8888888888888900,0
anans,17,11,1.5454545454545500,0
avocados,17,9,1.8888888888888900,0
couverture,17,13,1.3076923076923100,0
datteln,17,16,1.0625,0
fleischkäse,17,12,1.4166666666666700,0
hilcona,17,10,1.7,0
hollandaise,17,14,1.2142857142857100,0
joghurt emmi,17,11,1.5454545454545500,0
kafferahm,17,13,1.3076923076923100,0
kartoffel geschält,17,13,1.3076923076923100,0
kartoffeln a,17,6,2.8333333333333300,0
kellermann,17,3,5.666666666666670,0
maiskörner,17,15,1.1333333333333300,0
nussstange,17,8,2.125,0
nutella,17,13,1.3076923076923100,0
pak,17,12,1.4166666666666700,0
panella,17,10,1.7,0
ponthier,17,9,1.8888888888888900,0
smoothie,17,6,2.8333333333333300,0
spargel,17,12,1.4166666666666700,0
teig,17,9,1.8888888888888900,0
tilsiter,17,11,1.5454545454545500,0
weissmehl,17,10,1.7,0
zamba,17,9,1.8888888888888900,0
zwiebel geschält,17,10,1.7,0
10390,16,13,1.2307692307692300,0
10420,16,7,2.2857142857142900,0
28160,16,5,3.2,0
Aprikosen,16,11,1.4545454545454500,0
Avocado,16,14,1.1428571428571400,0
Brie,16,14,1.1428571428571400,0
Brote,16,1,16,0
Brunoise,16,12,1.3333333333333300,0
Glace,16,5,3.2,0
Gurke,16,12,1.3333333333333300,0
Kartoffelscheiben,16,8,2,0
Kohlraben,16,12,1.3333333333333300,0
Kuchenteig,16,12,1.3333333333333300,0
Orange,16,9,1.7777777777777800,0
Pizza,16,9,1.7777777777777800,0
Sprossen ,16,3,5.333333333333330,0
Süsskartoffel,16,12,1.3333333333333300,0
Trüffel,16,5,3.2,0
basic,16,4,4,0
bergkäse,16,13,1.2307692307692300,0
butterbohnen,16,9,1.7777777777777800,0
buttermilch,16,12,1.3333333333333300,0
chips,16,10,1.6,0
clem,16,6,2.6666666666666700,0
clement,16,12,1.3333333333333300,0
cornichons,16,12,1.3333333333333300,0
